age,male,edu,time_served,charges,n_theft,n_sex_abuse
31,1,10,1,0,0,0
38,0,12,0,0,0,0
51,1,11,0,1,0,0
48,1,10,1,0,5,0
37,1,12,0,0,0,0
48,1,12,0,0,0,0
33,1,12,1,0,0,0
47,1,12,0,0,7,0
43,1,11,0,0,0,0
43,1,11,0,0,1,0
55,1,12,0,0,4,0
41,1,12,0,0,0,0
30,1,10,0,1,0,0
40,1,12,0,1,0,0
29,1,10,0,0,0,0
37,1,12,0,0,20,0
43,1,9,0,1,0,0
50,1,12,0,1,0,0
44,1,9,1,0,1,0
30,1,12,0,0,0,0
37,1,3,0,0,0,0
35,1,10,0,0,0,0
25,1,12,0,0,0,0
34,1,3,0,0,0,0
37,1,9,1,0,3,0
48,1,12,0,0,0,0
31,1,10,0,0,0,0
39,1,9,0,0,1,0
32,1,11,0,0,0,0
37,1,13,0,0,1,0
22,1,12,0,0,5,0
27,1,11,0,1,0,0
27,1,12,0,0,0,0
27,1,12,0,0,0,0
39,1,12,0,1,3,0
38,1,12,0,0,0,0
44,1,12,0,0,0,0
65,1,5,0,0,6,0
31,1,12,1,1,2,0
65,1,10,0,0,0,0
31,1,17,0,0,0,0
30,1,10,0,0,0,0
56,1,6,1,0,3,0
33,1,15,0,0,0,0
43,1,11,0,1,0,0
44,1,8,1,0,0,0
33,1,12,1,0,0,0
45,1,12,0,0,0,0
40,1,9,0,1,0,0
19,1,4,0,0,0,0
45,1,9,1,1,8,0
